id,bld,name,cat,icon,type,floor,power,mp,rn,solar,upd,specs,startup,checklist,ctrl,mdFile,vendorGroup,vendorPdf,site,checks
gc_sd1,rnd,GoCart180 SD #1,amr,🛒,AMR,5F,online,online,online,online,즉시,"{""IP"": ""192.168.2.31"", ""RN ID"": ""gocart-sd-01"", ""OS"": ""Ubuntu 20.04"", ""SDK"": ""ketirtc""}",배터리|TOM ON|gocart_robot.py|Rubberneck,배터리|TOM|Rubberneck|SOLAR|LiDAR,Rubberneck|WASD|Space,robots/gocart.md,gocart180,../docs/vendor_docs/gocart180/GoCart180_SD_User_Manual_KO_V1.7_231214.pdf,incheon,
gc_sd2,rnd,GoCart180 SD #2,amr,🛒,AMR,1F,online,online,online,online,5분 전,"{""IP"": ""192.168.2.32"", ""RN ID"": ""gocart-sd-02"", ""OS"": ""Ubuntu 20.04"", ""SDK"": ""ketirtc""}",배터리|TOM ON|gocart_robot.py,배터리|TOM|Rubberneck|SOLAR,Rubberneck|WASD|Space,robots/gocart.md,gocart180,../docs/vendor_docs/gocart180/GoCart180_SD_User_Manual_KO_V1.7_231214.pdf,incheon,
nova1,rnd,Novatek #1,amr,📦,AMR,5F,online,online,online,online,즉시,"{""IP"": ""192.168.2.51"", ""RN ID"": ""novatek-01"", ""OS"": ""Ubuntu 22.04"", ""SDK"": ""KT Novatek SDK""}",TOM ON|novatek_robot.py|Rubberneck,배터리|TOM|Rubberneck|SOLAR|서비스 모듈,Rubberneck → Novatek #1|서비스 제어|긴급 정지,robots/novatek.md,,,incheon,
nova2,rnd,Novatek #2,amr,📦,AMR,5F,online,online,online,online,3분 전,"{""IP"": ""192.168.2.52"", ""RN ID"": ""novatek-02"", ""OS"": ""Ubuntu 22.04"", ""SDK"": ""KT Novatek SDK""}",TOM ON|novatek_robot.py,배터리|TOM|Rubberneck|SOLAR,Rubberneck|서비스 제어|긴급 정지,robots/novatek.md,,,incheon,
pick1,rnd,오더피킹,manipulator,📋,피킹 로봇,5F,online,online,online,online,7분 전,"{""IP"": ""192.168.2.62"", ""RN ID"": ""picking-01"", ""OS"": ""Ubuntu 20.04"", ""SDK"": ""ROS2+MoveIt""}",E-Stop 해제|TOM ON|orderpicking_robot.py,E-Stop|암 초기화|TOM|Rubberneck,Rubberneck → 오더피킹|피킹 경로 지정|긴급 정지,robots/orderpicking.md,,,incheon,
door_icn,rnd,자동문,m2m,🚪,MtoM IoT,1F,online,online,online,online,즉시,"{""IP"": ""192.168.2.71"", ""RN ID"": ""door-icn-01"", ""OS"": ""Raspberry Pi OS"", ""SDK"": ""ketirtc""}",TOM ON|door_robot.py|Rubberneck,TOM|센서 동작|Rubberneck,Rubberneck → 자동문|개방/폐쇄|수동 오버라이드,robots/door.md,,,incheon,
elev_icn,rnd,엘리베이터,m2m,🛗,MtoM IoT,1F,online,online,online,online,즉시,"{""IP"": ""192.168.2.72"", ""RN ID"": ""elev-icn-01"", ""OS"": ""Raspberry Pi OS"", ""SDK"": ""ketirtc""}",TOM ON|elevator_robot.py|층 제어 확인,TOM|제어 모듈|Rubberneck,Rubberneck → 엘리베이터|층 호출|로봇 연동 ON,robots/elevator.md,,,incheon,
zayd1,,GydTech 모바일,amr,🛺,AMR,테스트필드,online,online,online,online,즉시,"{""IP"": ""192.168.3.31"", ""RN ID"": ""zayd-01"", ""OS"": ""Ubuntu 22.04"", ""SDK"": ""ROS2""}",충전 분리|TOM ON|전원 ON|zayd_robot.py,배터리|TOM|Rubberneck|지도 로딩,Rubberneck 수동 모드|방향키 이동|AUTO 재개,robots/gydtech.md,,,suwon,
cobot1,,COBOT (건설로봇),manipulator,🏗,건설 로봇,테스트필드,online,online,online,online,10분 전,"{""IP"": ""192.168.3.62"", ""RN ID"": ""cobot-01"", ""OS"": ""Ubuntu 20.04"", ""SDK"": ""COBOT SDK""}",안전 구역 확인|TOM ON|COBOT ON|cobot_robot.py,안전 구역|E-Stop 해제|TOM|Rubberneck,Rubberneck → COBOT|건설 작업 제어|E-Stop,robots/cobot.md,,,suwon,
piper1,,PiPER,arm,🦾,매니퓰레이터,테스트필드,online,online,online,online,5분 전,"{""IP"": ""192.168.3.63"", ""RN ID"": ""piper-01"", ""OS"": ""Ubuntu 22.04"", ""SDK"": ""Piper SDK""}",TOM ON|piper_robot.py|Rubberneck,E-Stop|TOM|Rubberneck|작업 범위,Rubberneck|암 제어|긴급 정지,robots/piper.md,,,suwon,
door_suwon,,자동문,m2m,🚪,MtoM IoT,테스트필드,online,online,online,online,즉시,"{""IP"": ""192.168.3.71"", ""RN ID"": ""door-suwon-01"", ""OS"": ""Raspberry Pi OS"", ""SDK"": ""ketirtc""}",TOM ON|door_robot.py|Rubberneck,TOM|센서 동작|Rubberneck,Rubberneck → 자동문|개방/폐쇄|수동 오버라이드,robots/door.md,,,suwon,
elev_suwon,,엘리베이터,m2m,🛗,MtoM IoT,테스트필드,online,online,online,online,즉시,"{""IP"": ""192.168.3.72"", ""RN ID"": ""elev-suwon-01"", ""OS"": ""Raspberry Pi OS"", ""SDK"": ""ketirtc""}",TOM ON|elevator_robot.py|층 제어 확인,TOM|제어 모듈|Rubberneck,Rubberneck → 엘리베이터|층 호출|로봇 연동 ON,robots/elevator.md,,,suwon,
spot_yw,,SPOT (영월),quadruped,🐕,4족 보행,1F,online,online,online,online,즉시,"{""IP"": ""192.168.100.21"", ""RN ID"": ""spot-yw-01"", ""OS"": ""Ubuntu 20.04"", ""SDK"": ""Spot SDK 4.x""}",배터리 확인|TOM ON|SPOT ON|spot_robot.py,배터리 50%|E-Stop 해제|TOM|Rubberneck|순찰 경로,Rubberneck 원격 제어|순찰 모드 또는 수동|Space 정지,robots/spot.md,,,yeongwol,
v60_yw,,Vision60,quadruped,🦿,4족 보행,1F,online,online,warning,offline,15분 전,"{""IP"": ""192.168.100.22"", ""RN ID"": ""v60-yw-01"", ""OS"": ""Ubuntu 20.04"", ""SDK"": ""Ghost SDK""}",배터리|TOM ON|Vision60 ON|vision60_robot.py,배터리|TOM|Rubberneck|카메라,Rubberneck 원격 제어|수동 이동|E-Stop,robots/vision60.md,,,yeongwol,
door_yw,,자동문,m2m,🚪,MtoM IoT,1F,online,online,online,online,즉시,"{""IP"": ""192.168.100.51"", ""RN ID"": ""door-yw-01"", ""OS"": ""Raspberry Pi OS"", ""SDK"": ""ketirtc""}",TOM ON|door_robot.py|Rubberneck,TOM|센서 동작|Rubberneck,Rubberneck → 자동문|개방/폐쇄|수동 오버라이드,robots/door.md,,,yeongwol,
elev_yw,,엘리베이터,m2m,🛗,MtoM IoT,1F,online,online,online,online,즉시,"{""IP"": ""192.168.100.52"", ""RN ID"": ""elev-yw-01"", ""OS"": ""Raspberry Pi OS"", ""SDK"": ""ketirtc""}",TOM ON|elevator_robot.py|층 제어 확인,TOM|제어 모듈|Rubberneck,Rubberneck → 엘리베이터|층 호출|로봇 연동 ON,robots/elevator.md,,,yeongwol,
